,vProvName,vNum2,vNum
1,北京市,63,326
2,天津市,14,228
3,河北省,13,226
4,山西省,9,218
5,内蒙古自治区,7,214
6,辽宁省,21,242
7,吉林省,4,208
8,黑龙江省,15,230
9,上海市,40,280
10,江苏省,33,266
11,浙江省,104,408
12,安徽省,60,320
13,福建省,35,270
14,江西省,36,272
15,山东省,46,292
16,河南省,83,366
17,湖北省,618,800
18,湖南省,69,338
19,广东省,111,422
20,广西壮族自治区,36,272
21,海南省,22,244
22,重庆市,75,350
23,四川省,44,288
24,贵州省,5,210
25,云南省,16,232
26,西藏自治区,0,0
27,陕西省,22,244
28,甘肃省,7,214
29,青海省,1,202
30,宁夏回族自治区,4,208
31,新疆维吾尔自治区,4,208
32,台湾省,4,208
33,香港特别行政区,5,210
34,澳门特别行政区,5,210
