"Id","SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species"
4,4.6,3.1,1.5,0.2,"Iris-setosa"
6,5.4,3.9,1.7,0.4,"Iris-setosa"
7,4.6,3.4,1.4,0.3,"Iris-setosa"
18,5.1,3.5,1.4,0.3,"Iris-setosa"
21,5.4,3.4,1.7,0.2,"Iris-setosa"
29,5.2,3.4,1.4,0.2,"Iris-setosa"
35,4.9,3.1,1.5,0.1,"Iris-setosa"
41,5,3.5,1.3,0.3,"Iris-setosa"
52,6.4,3.2,4.5,1.5,"Iris-versicolor"
61,5,2,3.5,1,"Iris-versicolor"
70,5.6,2.5,3.9,1.1,"Iris-versicolor"
72,6.1,2.8,4,1.3,"Iris-versicolor"
76,6.6,3,4.4,1.4,"Iris-versicolor"
77,6.8,2.8,4.8,1.4,"Iris-versicolor"
80,5.7,2.6,3.5,1,"Iris-versicolor"
94,5,2.3,3.3,1,"Iris-versicolor"
99,5.1,2.5,3,1.1,"Iris-versicolor"
104,6.3,2.9,5.6,1.8,"Iris-virginica"
109,6.7,2.5,5.8,1.8,"Iris-virginica"
111,6.5,3.2,5.1,2,"Iris-virginica"
121,6.9,3.2,5.7,2.3,"Iris-virginica"
135,6.1,2.6,5.6,1.4,"Iris-virginica"
139,6,3,4.8,1.8,"Iris-virginica"
150,5.9,3,5.1,1.8,"Iris-virginica"
