萼片长度,萼片宽度,花瓣长度,花瓣宽度,种类
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 1,C 2,D 3,H 1 
A 1,B 1,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 1,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 1,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 1,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 1,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 1,B 3,C 2,D 3,H 1 
A 1,B 3,C 3,D 3,H 1 
A 3,B 2,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 3,C 1,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 3,C 1,D 1,H 2 
A 3,B 3,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 2,C 3,D 2,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 2,H 2 
A 3,B 3,C 3,D 1,H 2 
A 3,B 1,C 2,D 1,H 2 
A 3,B 2,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 3,C 1,D 1,H 2 
A 3,B 1,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 3,B 3,C 1,D 1,H 2 
A 3,B 1,C 3,D 1,H 2 
A 2,B 1,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 3,C 1,D 1,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 1,D 2,H 3 
A 2,B 2,C 2,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 2,D 2,H 3 
A 2,B 2,C 1,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 3,D 1,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 1,D 1,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 3,D 1,H 3 
A 2,B 1,C 3,D 1,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 2,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 2,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
A 2,B 1,C 3,D 1,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 1,D 2,H 3 
A 2,B 2,C 3,D 2,H 3 
A 2,B 1,C 2,D 2,H 3 
A 2,B 1,C 3,D 2,H 3 
